     0          0.00000315
     1          0.00002051
     2          0.00023961
     3          0.00290145
     4          0.02658255
     5          0.12995890
     6          0.28268702
     7          0.28805796
     8          0.16804545
     9          0.06790509
    10          0.02312749
    11          0.00744546
    12          0.00220433
    13          0.00060677
    14          0.00016273
    15          0.00004008
    16          0.00000904
    17          0.00000199
    18          0.00000036
    19          0.00000006
    20          0.00000000
